trade_id,timestamp,symbol,event,side,price,usd_qty,pnl,balance,notes
11,2026-03-19 19:06:43,SOLUSDT,TP1_HIT,LONG,88.8,501.4276,5.0764,1007.9316,remaining=$501.43
11,2026-03-19 19:25:09,SOLUSDT,REVERSAL_CLOSE,LONG,89.02,501.4276,6.3313,1014.2629,
12,2026-03-19 19:25:09,SOLUSDT,ENTRY_SHORT,SHORT,89.02,1014.2629,0.0,1014.2629,TP1=88.1298  TP2=87.6847  TP3=87.2396  SL=89.4651
1,2026-03-19 19:40:47,SOLUSDT,ENTRY_LONG,LONG,88.96,1000.0,0.0,1000.0,TP1=89.8496  TP2=90.2944  TP3=90.7392  SL=88.5152
1,2026-03-19 19:50:08,SOLUSDT,REVERSAL_CLOSE,LONG,88.83,1000.0,-1.4613,998.5387,
2,2026-03-19 19:50:09,SOLUSDT,ENTRY_SHORT,SHORT,88.83,998.5387,0.0,998.5387,TP1=87.9417  TP2=87.4976  TP3=87.0534  SL=89.2741
1,2026-03-19 19:53:05,SOLUSDT,ENTRY_SHORT,SHORT,88.84,1000.0,0.0,1000.0,TP1=87.9516  TP2=87.5074  TP3=87.0632  SL=89.2842
1,2026-03-20 13:33:03,SOLUSDT,ENTRY_SHORT,SHORT,88.98,1000.0,0.0,1000.0,TP1=88.0902  TP2=87.6453  TP3=87.2004  SL=89.4249
1,2026-03-20 13:45:06,SOLUSDT,ENTRY_LONG,LONG,89.26,1000.0,0.0,1000.0,TP1=90.1526  TP2=90.5989  TP3=91.0452  SL=88.8137
1,2026-03-20 13:59:05,SOLUSDT,ENTRY_SHORT,SHORT,88.79,1000.0,0.0,1000.0,TP1=87.9021  TP2=87.4582  TP3=87.0142  SL=89.2339
1,2026-03-20 14:05:06,SOLUSDT,REVERSAL_CLOSE,SHORT,89.06,1000.0,-3.0409,996.9591,
2,2026-03-20 14:05:07,SOLUSDT,ENTRY_LONG,LONG,89.06,996.9591,0.0,996.9591,TP1=89.9506  TP2=90.3959  TP3=90.8412  SL=88.6147
1,2026-03-23 13:36:17,SOLUSDT,ENTRY_LONG,LONG,90.34,1000.0,0.0,1000.0,TP1=91.2434  TP2=91.6951  TP3=92.1468  SL=89.8883
